,linear_compensation,sampling,tap,max_tap,batch_size,neuron,epochs,learning_rate,activation,N,itr,seed,bit_num,target_dir,step,image_number,ebtb,form,n,equalize,baudrate,PdBm,Ledfa,stepedfa,gamma,D,Alpha,NF,Lmax,ase,params_path,train_samples
93,TRUE,1,201,501,100,300,200,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000093.pth,2000
94,TRUE,1,201,501,100,300,250,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000094.pth,2000
95,TRUE,1,201,501,100,300,300,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000095.pth,2000
96,TRUE,1,201,501,100,300,350,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000096.pth,2000
97,TRUE,1,201,501,100,300,400,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000097.pth,2000
98,TRUE,1,201,501,100,300,450,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000098.pth,2000
99,TRUE,1,201,501,100,300,500,0.001,CReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000099.pth,2000
100,TRUE,1,1,501,100,300,50,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000100.pth,2000
101,TRUE,1,1,501,100,300,100,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000101.pth,2000
102,TRUE,1,1,501,100,300,150,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000102.pth,2000
103,TRUE,1,1,501,100,300,200,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000103.pth,2000
104,TRUE,1,1,501,100,300,250,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000104.pth,2000
105,TRUE,1,1,501,100,300,300,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000105.pth,2000
106,TRUE,1,1,501,100,300,350,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000106.pth,2000
107,TRUE,1,1,501,100,300,400,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000107.pth,2000
108,TRUE,1,1,501,100,300,450,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000108.pth,2000
109,TRUE,1,1,501,100,300,500,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000109.pth,2000
110,TRUE,1,51,501,100,300,50,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000110.pth,2000
111,TRUE,1,51,501,100,300,100,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000111.pth,2000
112,TRUE,1,51,501,100,300,150,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000112.pth,2000
113,TRUE,1,51,501,100,300,200,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000113.pth,2000
114,TRUE,1,51,501,100,300,250,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000114.pth,2000
115,TRUE,1,51,501,100,300,300,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000115.pth,2000
116,TRUE,1,51,501,100,300,350,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000116.pth,2000
117,TRUE,1,51,501,100,300,400,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000117.pth,2000
118,TRUE,1,51,501,100,300,450,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000118.pth,2000
119,TRUE,1,51,501,100,300,500,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000119.pth,2000
120,TRUE,1,101,501,100,300,50,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000120.pth,2000
121,TRUE,1,101,501,100,300,100,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000121.pth,2000
122,TRUE,1,101,501,100,300,150,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000122.pth,2000
123,TRUE,1,101,501,100,300,200,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000123.pth,2000
124,TRUE,1,101,501,100,300,250,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000124.pth,2000
125,TRUE,1,101,501,100,300,300,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000125.pth,2000
126,TRUE,1,101,501,100,300,350,0.001,modReLU,,,1234,10000,,,,,RZ16QAM,32,FALSE,28,1,100,30,1.4,16,0.16,4,2500,TRUE,../data/params/CVNN/params_0000000126.pth,2000
